what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292004677756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004678635
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004700241
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1292004702126
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004708858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004727634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004732542
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004744513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004746523
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1292004752582
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1292004752622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004752652
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1292004761676
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004761845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004772289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004774067
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1292004776921
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1292004776940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292004777004
