what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1292090161450
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1292090162196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292090163350
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1292090166543
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090172898
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.cleanup.document",1292090173546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090173589
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1292090184113
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1292090184275
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1292090184449
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1292090184614
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findPrevious",1292090185555
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findPrevious",1292090185991
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292090343326
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090345856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090346744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090349256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090364421
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1292090368978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090373351
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090375688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090380574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090382348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090384671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090387420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090389547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090391149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090392385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090405039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090408129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090410286
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090421013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090422241
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090427081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090432636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090435041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090437239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090438974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090592736
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1292090598440
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1292090605775
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1292090605930
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1292090606080
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1292090606355
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292090611203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292090650064
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1292090655136
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292090658148
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1292090659865
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292090688503
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1292090694382
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1292090695296
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1292090695518
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292090696335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292090697752
